  file_table         = D2Ising_MCMC_exchange_L10.tab
  Jnn                =    1.000000    
  L, N_spin          =         10       100
  N_temperature_list =         31
  temperature_list   = 
             4.000000       3.900000       3.800000       3.700000       3.600000    
             3.500000       3.400000       3.300000       3.200000       3.100000    
             3.000000       2.900000       2.800000       2.700000       2.600000    
             2.500000       2.400000       2.300000       2.200000       2.100000    
             2.000000       1.900000       1.800000       1.700000       1.600000    
             1.500000       1.400000       1.300000       1.200000       1.100000    
             1.000000    
  seed_64bit         =       21680594623049
  N_mcs_discard, N_mcs_average =    2000000   2000000
  temperature  <E/N_spin>  <C/N_spin>  <chi/N_spin>  <abs_chi/N_spin>  <M/N_spin>  <|M|/N_spin>  <(M/N_spin)**2>  Binder_<M**4>/<M**2>**2  acceptance  acceptance_exchange
   4.000000     -0.5576554      0.1717623       1.068623      0.3778374      0.2652100E-03  0.1662273      0.4274500E-01   2.810254      0.6092372      0.9401400    
   3.900000     -0.5753063      0.1841509       1.163149      0.4103315      0.2281800E-03  0.1713474      0.4536285E-01   2.796516      0.5983142      0.9362070    
   3.800000     -0.5943740      0.1978040       1.272523      0.4475476      0.1687300E-03  0.1770568      0.4835591E-01   2.780382      0.5867754      0.9319140    
   3.700000     -0.6150145      0.2130390       1.403574      0.4919183      0.6374000E-04  0.1836607      0.5193223E-01   2.758122      0.5743485      0.9279580    
   3.600000     -0.6370010      0.2312517       1.560212      0.5432257      0.8473000E-04  0.1913413      0.5616762E-01   2.726157      0.5613092      0.9223810    
   3.500000     -0.6611771      0.2513654       1.749002      0.6050698     -0.6072000E-04  0.2000941      0.6121509E-01   2.695680      0.5472910      0.9170160    
   3.400000     -0.6875574      0.2755539       1.979296      0.6796081     -0.3164000E-04  0.2102127      0.6729605E-01   2.660665      0.5321960      0.9102680    
   3.300000     -0.7163493      0.3040260       2.267990      0.7701977      0.1737300E-03  0.2223222      0.7484371E-01   2.610454      0.5160199      0.9028870    
   3.200000     -0.7483569      0.3388612       2.639467      0.8846551      0.3527000E-03  0.2369686      0.8446307E-01   2.552664      0.4984883      0.8933670    
   3.100000     -0.7845340      0.3832921       3.126742       1.028559      0.4303400E-03  0.2550370      0.9692919E-01   2.479253      0.4789105      0.8826650    
   3.000000     -0.8257767      0.4392864       3.779401       1.209145      0.4378100E-03  0.2776830      0.1133822       2.380407      0.4576163      0.8701920    
   2.900000     -0.8730668      0.5135934       4.672956       1.440171      0.5336700E-03  0.3061880      0.1355160       2.263606      0.4336886      0.8540400    
   2.800000     -0.9293571      0.6154551       5.941562       1.727193      0.6013500E-03  0.3435152      0.1663641       2.114831      0.4063250      0.8339020    
   2.700000     -0.9975587      0.7540159       7.771688       2.065953      0.6392900E-03  0.3924987      0.2098360       1.937300      0.3744957      0.8071660    
   2.600000      -1.081974      0.9334930       10.44654       2.405560      0.8923500E-03  0.4572378      0.2716110       1.732104      0.3368315      0.7778520    
   2.500000      -1.184932       1.130972       14.20278       2.615249      0.1187560E-02  0.5382283      0.3550709       1.525938      0.2928879      0.7476330    
   2.400000      -1.306645       1.285546       19.20155       2.512096      0.1161700E-02  0.6328888      0.4608386       1.340017      0.2431976      0.7281030    
   2.300000      -1.437127       1.291783       25.10885       2.003625      0.1292030E-02  0.7289868      0.5775051       1.196715      0.1919893      0.7271360    
   2.200000      -1.560168       1.141847       31.19901       1.300514      0.9643200E-03  0.8110289      0.6863792       1.104019      0.1455995      0.7410950    
   2.100000      -1.663409      0.9241190       36.82915      0.7259180      0.9167700E-03  0.8707289      0.7734131       1.052814      0.1079081      0.7600400    
   2.000000      -1.745478      0.7224801       41.88621      0.3776831     -0.1011970E-02  0.9111375      0.8377253       1.026908      0.7911520E-01  0.7778620    
   1.900000      -1.809473      0.5622874       46.53020      0.2011886     -0.8278700E-03  0.9382174      0.8840746       1.014241      0.5752259E-01  0.7951420    
   1.800000      -1.859232      0.4393595       50.97601      0.1147616     -0.8707500E-03  0.9568194      0.9175690       1.007949      0.4135438E-01  0.8108150    
   1.700000      -1.898129      0.3416595       55.42414      0.6896836E-01  0.3932000E-04  0.9700711      0.9422104       1.004585      0.2919718E-01  0.8274040    
   1.600000      -1.928129      0.2627172       60.01792      0.4319592E-01  0.3113800E-03  0.9795895      0.9602868       1.002706      0.2011476E-01  0.8459990    
   1.500000      -1.951062      0.1975304       64.90355      0.2712586E-01 -0.2332900E-03  0.9864818      0.9735532       1.001594      0.1339876E-01  0.8678730    
   1.400000      -1.968053      0.1444691       70.21794      0.1691167E-01 -0.1495550E-02  0.9913711      0.9830534       1.000926      0.8594205E-02  0.8919080    
   1.300000      -1.980201      0.1014038       76.12794      0.1023437E-01 -0.1669640E-02  0.9947527      0.9896660       1.000520      0.5223465E-02  0.9172660    
   1.200000      -1.988606      0.6701977E-01   82.84431      0.5867099E-02 -0.2161600E-02  0.9970286      0.9941364       1.000275      0.2970935E-02  0.9422320    
   1.100000      -1.993959      0.4161817E-01   90.62928      0.3186484E-02 -0.1956970E-02  0.9984442      0.9969259       1.000137      0.1554275E-02  0.9634890    
   1.000000      -1.997154      0.2342655E-01   99.85619      0.1571811E-02 -0.1605630E-02  0.9992741      0.9985645       1.000061      0.7265000E-03   0.000000    
